Item,price,lowest competitive price,Day,Hour,Temperature,weather,Is busy,Adjusted price
Medu Vada in Sambar Bowl,6.99,4.5,0,-0.6713271830766376,-0.3169011645756818,1,0,4.5
Methi Mutter Malai,16.0,7.5,2,-0.38576263505150066,0.47709296205349905,1,0,7.5
Mini Idly,7.45,4.5,3,-0.10019808702636367,0.9534894380310075,1,0,4.5
Mulligatawny Soup,7.45,4.99,1,0.18536646099877332,1.5092853266714341,1,0,4.99
Mushroom Uthappam,13.75,9.99,6,0.7564955570490474,0.47709296205349905,1,1,9.99
Mutter Paneer,16.0,7.5,4,1.0420601050741842,-0.3169011645756818,1,1,16.0
Mysore Sada Dosa,12.95,8.99,2,1.6131892011244582,0.47709296205349905,1,0,8.99
Nav Ratan Korma,16.0,12.95,3,-1.5280208271520486,-1.1108952912048626,2,0,12.99
North Indian Thali,21.95,17.99,1,-1.2424562791269116,-0.8726970532161084,2,0,17.99
Onion Chilli Masala Dosa,12.95,6.95,6,-0.6713271830766376,0.7152912000422532,0,0,6.95
Onion Chilli Uthappam,13.75,7.5,4,-0.38576263505150066,0.0006964860759905293,0,0,7.5
Onion Paratha,8.95,6.5,0,-0.10019808702636367,-0.3963005772385999,0,0,6.5
Onion Rava Masala Dosa,14.95,8.95,2,0.18536646099877332,-0.47569998990151796,0,0,8.95
Palak Paneer,16.0,7.5,1,0.7564955570490474,-0.47569998990151796,0,1,7.5
Paneer Bhurji Dosa,16.0,12.99,6,1.3276246530993212,-0.6344988152273541,2,1,16.0
Paneer Masala Dosa,14.95,10.99,4,1.6131892011244582,-1.1108952912048626,2,0,10.99
Paneer Pakkoda,8.95,4.5,0,-1.5280208271520486,0.15949531140182668,1,0,4.5
Paneer Pondicherry Dosa,14.95,9.95,2,-1.2424562791269116,0.23889472406474477,1,0,9.95
Paneer Tikka Masala,16.0,14.2,3,-0.9568917311017746,1.7474835646601883,0,0,14.2
Paneer Uthappam,14.95,9.99,1,-0.6713271830766376,1.6680841519972702,0,0,9.99
Paratha,7.45,6.95,6,-0.10019808702636367,-1.1902947038677807,2,0,6.95
Plain Uthappam,11.95,5.95,4,0.18536646099877332,-1.2696941165306987,2,0,5.95
Podi Idly,8.95,4.5,0,0.47093100902391033,-1.1108952912048626,2,1,8.95
Pondicherry Masala Dosa,14.95,7.95,2,0.7564955570490474,-0.3963005772385999,1,1,14.95
Pongal,14.95,8.99,3,1.0420601050741842,-0.07870292658692755,1,1,8.99
Poondu Kulambu,16.0,13.95,1,1.3276246530993212,0.0006964860759905293,1,1,13.95
Rasam,7.45,1.95,6,-1.5280208271520486,0.9534894380310075,1,0,1.95
Rasmalai,6.0,3.5,4,-1.2424562791269116,-0.7932976405531903,2,0,3.5
Rava Chilli Gun Powder Masala Dosa,16.0,13.99,0,-0.9568917311017746,0.9534894380310075,0,0,13.99
Rava Sada Dosa,14.95,9.99,2,-0.6713271830766376,0.23889472406474477,1,0,9.99
Sada Dosa,11.95,4.95,3,-0.38576263505150066,0.08009589873890861,1,0,4.95
Sambar,7.45,1.75,1,-0.10019808702636367,-0.3963005772385999,0,0,1.75
Samosa,6.0,6.45,5,0.18536646099877332,-0.47569998990151796,1,0,5.99
Samosa Chat,8.95,7.45,6,0.47093100902391033,0.47709296205349905,0,1,7.99
Set Dosa,11.95,10.95,4,0.7564955570490474,-0.3963005772385999,1,1,11.95
Shake,6.95,3.5,0,1.0420601050741842,-1.1108952912048626,2,1,6.95
Soda,2.95,1.0,2,1.3276246530993212,0.9534894380310075,0,1,1.0
South Indian Thali,21.95,16.95,3,1.6131892011244582,-0.6344988152273541,2,0,16.95
Spinach Masala Dosa,14.95,6.95,1,-1.5280208271520486,-0.555099402564436,2,0,6.95
Spring Masala Dosa,14.95,6.95,5,-1.2424562791269116,-0.47569998990151796,2,0,6.95
Spring Rolls,7.45,3.95,6,-0.9568917311017746,0.47709296205349905,1,0,3.95
Tamarind Rice,12.95,6.5,4,-0.6713271830766376,0.6358917873793352,1,0,6.5
Tomato Rice,12.95,6.5,0,-0.38576263505150066,0.0006964860759905293,1,0,6.5
Tomato Soup,7.45,5.95,2,-0.10019808702636367,0.08009589873890861,1,0,5.95
Uppma,14.95,4.95,3,0.18536646099877332,2.1444806279747786,0,0,4.95
Vangi Bhath,12.95,8.95,1,0.47093100902391033,1.9856818026489427,0,1,8.95
Vegetables Hakka Noodles,13.75,6.95,6,1.0420601050741842,-1.5872917671823712,2,1,13.75
Vegetables Pullav,12.95,8.95,4,1.3276246530993212,-1.9048894178340434,2,1,12.95
Vendaikai Kulambu,14.95,12.99,0,1.6131892011244582,-1.2696941165306987,2,0,12.99
Water,0.95,0.95,2,-1.5280208271520486,-1.3490935291936168,2,0,0.95
Yogurt Rice,12.95,6.5,3,-1.2424562791269116,-1.1108952912048626,2,0,6.5
