Item,price,lowest competitive price,Day,Hour,Temperature,weather,Is busy,Adjusted price
Paratha,7.45,6.95,Wednesday,16,31,Snow,0,6.95
Plain Uthappam,11.95,5.95,Thursday,17,30,Snow,0,5.95
Podi Idly,8.95,4.5,Friday,18,32,Snow,1,8.95
Pondicherry Masala Dosa,14.95,7.95,Saturday,19,41,Rain,1,14.95
Pongal,14.95,8.99,Sunday,20,45,Rain,1,8.99
Poondu Kulambu,16,13.95,Monday,21,46,Rain,1,13.95
Poori,6,1.95,Tuesday,22,71,Clear,0,Closed
Rasam,7.45,1.95,Wednesday,11,58,Rain,0,1.95
Rasmalai,6,3.5,Thursday,12,36,Snow,0,3.5
Rava Chilli Gun Powder Masala Dosa,16,13.99,Friday,13,58,Clear,0,13.99
Rava Sada Dosa,14.95,9.99,Saturday,14,49,Rain,0,9.99
Sada Dosa,11.95,4.95,Sunday,15,47,Rain,0,4.95
Sambar,7.45,1.75,Monday,16,41,Clear,0,1.75
Samosa,6,6.45,Tuesday,17,40,Rain,0,5.99
Samosa Chat,8.95,7.45,Wednesday,18,52,Clear,1,7.99
Set Dosa,11.95,10.95,Thursday,19,41,Rain,1,11.95
Shake,6.95,3.5,Friday,20,32,Snow,1,6.95
Soda,2.95,1,Saturday,21,58,Clear,1,1
South Indian Thali,21.95,16.95,Sunday,22,38,Snow,0,16.95
Spinach Masala Dosa,14.95,6.95,Monday,11,39,Snow,0,6.95
Spring Masala Dosa,14.95,6.95,Tuesday,12,40,Snow,0,6.95
Spring Rolls,7.45,3.95,Wednesday,13,52,Rain,0,3.95
Tamarind Rice,12.95,6.5,Thursday,14,54,Rain,0,6.5
Tomato Rice,12.95,6.5,Friday,15,46,Rain,0,6.5
Tomato Soup,7.45,5.95,Saturday,16,47,Rain,0,5.95
Uppma,14.95,4.95,Sunday,17,73,Clear,0,4.95
Vangi Bhath,12.95,8.95,Monday,18,71,Clear,1,8.95
Vegetables Fried Rice,12.95,6.95,Tuesday,19,24,Snow,1,Closed
Vegetables Hakka Noodles,13.75,6.95,Wednesday,20,26,Snow,1,13.75
Vegetables Pullav,12.95,8.95,Thursday,21,22,Snow,1,12.95
Vendaikai Kulambu,14.95,12.99,Friday,22,30,Snow,0,12.99
Water,0.95,0.95,Saturday,11,29,Snow,0,0.95
Yogurt Rice,12.95,6.5,Sunday,12,32,Snow,0,6.5
